name,distance,stellar_magnitude,planet_type,discovery_year,mass_multiplier,mass_wrt,radius_multiplier,radius_wrt,orbital_radius,orbital_period,eccentricity,detection_method
BD-06 1339 b,66.0,9.7,Neptune-like,2013,8.5,Earth,0.254,Jupiter,0.0428,0.010677618,0.0,Radial Velocity
CD Ceti b,28.0,13.95,Super Earth,2020,3.95,Earth,1.82,Earth,0.0185,0.0062970566,0.0,Radial Velocity
CoRoT-11 b,2137.0,12.897,Gas Giant,2010,2.33,Jupiter,1.43,Jupiter,0.0436,0.008213553,0.0,Transit
CoRoT-13 b,3748.0,15.005,Gas Giant,2010,1.308,Jupiter,0.885,Jupiter,0.051,0.0109514035,0.0,Transit
CoRoT-14 b,5691.0,15.932,Gas Giant,2010,7.6,Jupiter,1.09,Jupiter,0.027,0.0041067763,0.0,Transit
CoRoT-17 b,3837.0,16.29,Gas Giant,2011,2.43,Jupiter,1.02,Jupiter,0.0461,0.010403832,0.0,Transit
CoRoT-1 b,2570.0,13.623,Gas Giant,2008,1.03,Jupiter,1.49,Jupiter,0.02752,0.0041067763,0.0,Transit
CoRoT-21 b,4563.0,16.058,Gas Giant,2012,2.26,Jupiter,1.3,Jupiter,0.0417,0.0073921974,0.0,Transit
CoRoT-24 b,1930.0,15.383,Neptune-like,2014,5.7,Earth,0.33,Jupiter,0.056,0.013963039,0.0,Transit
CoRoT-25 b,3600.0,14.79,Gas Giant,2013,0.27,Jupiter,1.08,Jupiter,0.0578,0.013415469,0.0,Transit
CoRoT-26 b,3409.0,15.861,Gas Giant,2013,0.52,Jupiter,1.26,Jupiter,0.0526,0.011498973,0.0,Transit
CoRoT-35 b,3664.0,15.635,Gas Giant,2022,1.1,Jupiter,1.68,Jupiter,0.0429,0.008761123,0.0,Transit
CoRoT-36 b,3020.0,13.126,Gas Giant,2022,0.68,Jupiter,1.41,Jupiter,0.066,0.015331964,0.0,Transit
CoRoT-4 b,2370.0,13.652,Gas Giant,2008,0.72,Jupiter,1.19,Jupiter,0.09,0.025188226,0.0,Transit
CoRoT-7 b,522.0,11.728,Super Earth,2009,4.07661,Earth,1.681,Earth,0.017016,0.0024640656,0.0,Transit
CoRoT-7 c,522.0,11.728,Neptune-like,2009,8.4,Earth,0.253,Jupiter,0.046,0.010130048,0.0,Radial Velocity
CoRoT-8 b,1050.0,14.792,Gas Giant,2010,0.22,Jupiter,0.57,Jupiter,0.063,0.016974675,0.0,Transit
CoRoTID 223977153 b,1881.0,13.626,Gas Giant,2017,0.15,Jupiter,0.57,Jupiter,0.071,0.0183436,0.0,Transit
EPIC 201170410.02,437.0,17.6984,Super Earth,2020,1.15,Earth,1.047,Earth,0.0349,0.018617386,0.0,Transit
EPIC 201757695.02,1884.0,14.974,Terrestrial,2020,0.688,Earth,0.908,Earth,0.0296,0.0054757018,0.0,Transit
EPIC 201841433 b,1424.0,14.983,Super Earth,2019,1.12,Earth,1.04,Earth,0.035,0.011498973,0.0,Transit
EPIC 220674823 b,798.0,12.101,Super Earth,2016,7.72,Earth,1.6,Earth,0.01312,0.0016427105,0.0,Transit
EPIC 246851721 b,1216.0,11.237,Gas Giant,2018,3.0,Jupiter,1.051,Jupiter,0.07229,0.016974675,0.0,Transit
G 264-012 b,52.0,13.078,Super Earth,2021,2.5,Earth,1.39,Earth,0.02279,0.0062970566,0.0,Radial Velocity
G 264-012 c,52.0,13.078,Super Earth,2021,3.75,Earth,1.76,Earth,0.0525,0.022176592,0.0,Radial Velocity
G 9-40 b,91.0,13.821,Super Earth,2019,4.76,Earth,2.025,Earth,0.0385,0.015605749,0.0,Transit
Gaia-1 b,1186.0,13.242,Gas Giant,2022,1.68,Jupiter,1.229,Jupiter,0.04047,0.008487337,0.0,Transit
Gaia-2 b,683.0,11.277,Gas Giant,2022,0.817,Jupiter,1.322,Jupiter,0.0467,0.010130048,0.0,Transit
GJ 1002 b,16.0,13.76,Super Earth,2022,1.08,Earth,1.03,Earth,0.0457,0.028199865,0.0,Radial Velocity
GJ 1002 c,16.0,13.76,Super Earth,2022,1.36,Earth,1.1,Earth,0.0738,0.05804244,0.0,Radial Velocity
GJ 1252 b,66.0,12.68,Super Earth,2020,1.32,Earth,1.18,Earth,0.00915,0.0013689254,0.0,Transit
GJ 3473 b,89.0,13.74,Super Earth,2020,1.86,Earth,1.264,Earth,0.01589,0.003285421,0.0,Transit
GJ 3473 c,89.0,13.74,Neptune-like,2020,7.41,Earth,0.235,Jupiter,0.0876,0.042436685,0.0,Radial Velocity
GJ 357 b,31.0,10.91,Super Earth,2019,1.84,Earth,1.217,Earth,0.035,0.010677618,0.0,Transit
GJ 357 c,31.0,10.91,Super Earth,2019,3.4,Earth,1.66,Earth,0.061,0.024914443,0.0,Radial Velocity
GJ 367 b,31.0,10.153,Terrestrial,2021,0.546,Earth,0.718,Earth,0.0071,0.00082135526,0.0,Transit
GJ 3929 b,52.0,12.675,Super Earth,2022,1.75,Earth,1.09,Earth,0.0252,0.007118412,0.0,Transit
GJ 3929 c,52.0,12.675,Neptune-like,2022,5.71,Earth,0.201,Jupiter,0.081,0.04106776,0.0,Radial Velocity
GJ 393 b,23.0,9.65,Super Earth,2021,1.71,Earth,1.17,Earth,0.05402,0.019164955,0.0,Radial Velocity
GJ 3998 b,59.0,10.844,Super Earth,2016,2.47,Earth,1.38,Earth,0.029,0.007118412,0.0,Radial Velocity
GJ 581 e,21.0,10.57,Super Earth,2009,1.7,Earth,1.17,Earth,0.02815,0.008487337,0.0,Radial Velocity
GJ 685 b,47.0,9.98,Neptune-like,2019,9.0,Earth,0.263,Jupiter,0.1344,0.066255994,0.0,Radial Velocity
GJ 887 b,11.0,7.56,Super Earth,2020,4.2,Earth,1.88,Earth,0.068,0.025462013,0.0,Radial Velocity
GJ 887 c,11.0,7.56,Neptune-like,2020,7.6,Earth,0.238,Jupiter,0.12,0.059685145,0.0,Radial Velocity
GJ 9827 b,97.0,10.37,Super Earth,2017,4.91,Earth,1.577,Earth,0.0188,0.003285421,0.0,Transit
GJ 9827 c,97.0,10.37,Super Earth,2017,0.84,Earth,1.241,Earth,0.03925,0.009856262,0.0,Transit
GJ 9827 d,97.0,10.37,Neptune-like,2017,4.04,Earth,2.022,Earth,0.05591,0.016974675,0.0,Transit
HAT-P-12 b,466.0,12.665,Gas Giant,2009,0.211,Jupiter,0.959,Jupiter,0.0384,0.008761123,0.0,Transit
HAT-P-27 b,650.0,12.052,Gas Giant,2011,0.62,Jupiter,1.02,Jupiter,0.04,0.008213553,0.0,Transit
HAT-P-33 b,1292.0,11.032,Gas Giant,2011,0.92,Jupiter,1.85,Jupiter,0.04995,0.009582478,0.0,Transit
HAT-P-39 b,2274.0,12.282,Gas Giant,2012,0.599,Jupiter,1.571,Jupiter,0.0509,0.009582478,0.0,Transit
HAT-P-40 b,1515.0,11.34,Gas Giant,2012,0.48,Jupiter,1.52,Jupiter,0.0608,0.0123203285,0.0,Transit
HAT-P-41 b,1136.0,11.365,Gas Giant,2012,1.19,Jupiter,2.05,Jupiter,0.04258,0.0073921974,0.0,Transit
HAT-P-42 b,1322.0,12.125,Gas Giant,2012,1.044,Jupiter,1.28,Jupiter,0.0575,0.012594113,0.0,Transit
HAT-P-49 b,1143.0,10.205,Gas Giant,2014,2.2,Jupiter,1.59,Jupiter,0.04378,0.0073921974,0.0,Transit
HAT-P-57 b,913.0,10.639,Gas Giant,2015,1.41,Jupiter,1.74,Jupiter,0.0406,0.0068446267,0.0,Transit
HAT-P-67 b,1212.0,10.106,Gas Giant,2017,0.34,Jupiter,2.085,Jupiter,0.06505,0.013141684,0.0,Transit
HAT-P-69 b,1113.0,9.774,Gas Giant,2019,3.58,Jupiter,1.676,Jupiter,0.06555,0.013141684,0.0,Transit
HAT-P-70 b,1079.0,9.47,Gas Giant,2019,6.78,Jupiter,1.87,Jupiter,0.04739,0.0073921974,0.0,Transit
HAT-P-7 b,1113.0,10.481,Gas Giant,2008,1.84,Jupiter,1.51,Jupiter,0.03676,0.006023272,0.0,Transit
HAT-P-8 b,690.0,10.358,Gas Giant,2008,1.28,Jupiter,1.4,Jupiter,0.04496,0.008487337,0.0,Transit
HATS-16 b,2469.0,13.957,Gas Giant,2016,3.27,Jupiter,1.3,Jupiter,0.03744,0.0073921974,0.0,Transit
HATS-24 b,1612.0,12.915,Gas Giant,2017,2.26,Jupiter,1.395,Jupiter,0.0238,0.003559206,0.0,Transit
HATS-2 b,1115.0,13.565,Gas Giant,2013,1.345,Jupiter,1.168,Jupiter,0.023,0.003832991,0.0,Transit
HATS-3 b,1341.0,12.433,Gas Giant,2013,1.071,Jupiter,1.381,Jupiter,0.0485,0.009582478,0.0,Transit
HATS-54 b,2442.0,13.937,Gas Giant,2019,0.753,Jupiter,1.015,Jupiter,0.037,0.0068446267,0.0,Transit
HATS-6 b,552.0,15.044,Gas Giant,2015,0.319,Jupiter,0.998,Jupiter,0.03623,0.009034907,0.0,Transit
HATS-71 b,457.0,16.437,Gas Giant,2020,0.37,Jupiter,1.024,Jupiter,0.03745,0.010403832,0.0,Transit
HD 125595 b,92.0,9.03,Neptune-like,2009,6.3566,Earth,0.214,Jupiter,0.08,0.026557151,0.0,Radial Velocity
HD 136352 b,48.0,5.65,Super Earth,2019,4.72,Earth,1.664,Earth,0.0964,0.03175907,0.0,Radial Velocity
HD 136352 c,48.0,5.65,Neptune-like,2019,11.24,Earth,0.26,Jupiter,0.1721,0.07556468,0.0,Radial Velocity
HD 137496 b,507.0,9.899,Super Earth,2021,4.04,Earth,1.31,Earth,0.02732,0.0043805614,0.0,Transit
HD 156668 b,79.0,8.43,Super Earth,2010,4.15,Earth,1.87,Earth,0.05,0.012594113,0.0,Radial Velocity
HD 20329 b,208.0,8.76,Super Earth,2022,7.42,Earth,1.72,Earth,0.018,0.0024640656,0.0,Transit
HD 213885 b,157.0,7.95,Super Earth,2019,8.83,Earth,1.745,Earth,0.02012,0.0027378509,0.0,Transit
HD 215152 b,70.0,8.11,Super Earth,2018,1.819,Earth,1.19,Earth,0.057638,0.015879534,0.0,Radial Velocity
HD 215152 c,70.0,8.11,Super Earth,2018,1.72,Earth,1.17,Earth,0.067393,0.019986311,0.0,Radial Velocity
HD 215152 d,70.0,8.11,Super Earth,2018,2.801,Earth,1.48,Earth,0.08799,0.029842572,0.0,Radial Velocity
HD 215152 e,70.0,8.11,Super Earth,2018,2.877,Earth,1.51,Earth,0.15417,0.068993844,0.0,Radial Velocity
HD 21749 c,53.0,8.08,Super Earth,2019,3.7,Earth,0.892,Earth,0.0695,0.021355236,0.0,Transit
HD 219134 b,21.0,5.56911,Super Earth,2015,4.74,Earth,1.602,Earth,0.03876,0.008487337,0.0,Radial Velocity
HD 219666 b,307.0,9.809,Neptune-like,2018,16.6,Earth,0.42,Jupiter,0.06356,0.016427105,0.0,Transit
HD 22496 b,44.0,8.57,Neptune-like,2021,5.57,Earth,2.22,Earth,0.051,0.013963039,0.0,Radial Velocity
HD 285968 b,31.0,9.95,Neptune-like,2008,8.4,Earth,0.253,Jupiter,0.066,0.024093088,0.0,Radial Velocity
HD 63433 b,73.0,6.92035,Neptune-like,2020,5.27,Earth,2.15,Earth,0.0719,0.01943874,0.0,Transit
HD 63433 c,73.0,6.92035,Neptune-like,2020,7.61,Earth,0.238,Jupiter,0.1458,0.056125943,0.0,Transit
HD 80653 b,358.0,9.452,Super Earth,2020,5.6,Earth,1.613,Earth,0.0166,0.0019164955,0.0,Transit
HD 93963 A b,269.0,9.182,Super Earth,2022,7.8,Earth,1.35,Earth,0.02085,0.0027378509,0.0,Transit
HIP 65 A b,202.0,11.0,Gas Giant,2020,3.213,Jupiter,2.03,Jupiter,0.01782,0.0027378509,0.0,Transit
K2-107 b,2235.0,13.012,Gas Giant,2017,0.84,Jupiter,1.426,Jupiter,0.0475,0.009034907,0.0,Transit
K2-113 b,2074.0,13.744,Gas Giant,2017,1.29,Jupiter,1.083,Jupiter,0.0642,0.015879534,0.0,Transit
K2-11 b,1074.0,13.409,Gas Giant,2015,0.14,Jupiter,0.674,Jupiter,0.2257,0.10924025,0.0,Transit
K2-12 b,1065.0,12.38,Neptune-like,2015,6.04,Earth,0.208,Jupiter,0.0802,0.022724163,0.0,Transit
K2-131 b,497.0,12.129,Super Earth,2017,6.3,Earth,1.5,Earth,0.0095,0.0010951404,0.0,Transit
K2-133 b,245.0,14.073,Super Earth,2017,2.36,Earth,1.34,Earth,0.03194,0.008487337,0.0,Transit
K2-133 c,245.0,14.073,Super Earth,2017,3.2,Earth,1.603,Earth,0.04341,0.013415469,0.0,Transit
K2-133 d,245.0,14.073,Super Earth,2017,4.67,Earth,2.003,Earth,0.07487,0.030116359,0.0,Transit
K2-133 e,245.0,14.073,Super Earth,2019,3.64,Earth,1.73,Earth,0.1346,0.07282683,0.0,Transit
K2-137 b,323.0,15.94,Terrestrial,2017,0.5,Jupiter,0.64,Earth,0.0058,0.0005475702,0.0,Transit
K2-13 b,1117.0,12.882,Super Earth,2015,4.23,Earth,1.89,Earth,0.2114,0.10924025,0.0,Transit
K2-140 b,1135.0,12.727,Gas Giant,2017,0.93,Jupiter,1.21,Jupiter,0.068,0.018069815,0.0,Transit
K2-141 b,202.0,11.454,Super Earth,2018,5.08,Earth,1.51,Earth,0.00716,0.00082135526,0.0,Transit
K2-147 b,295.0,14.044,Terrestrial,2018,0.315,Earth,0.73,Earth,0.0159,0.0027378509,0.0,Transit
K2-148 b,406.0,13.627,Super Earth,2018,2.33,Earth,1.33,Earth,0.0454,0.012046544,0.0,Transit
K2-148 c,406.0,13.627,Super Earth,2018,3.64,Earth,1.73,Earth,0.0616,0.01889117,0.0,Transit
K2-148 d,406.0,13.627,Super Earth,2018,3.33,Earth,1.64,Earth,0.0774,0.026830938,0.0,Transit
K2-149 b,403.0,14.543,Super Earth,2018,3.33,Earth,1.64,Earth,0.083,0.030937715,0.0,Transit
K2-150 b,334.0,15.784,Super Earth,2018,4.66,Earth,2.0,Earth,0.0727,0.02902122,0.0,Transit
K2-151 b,227.0,14.175,Super Earth,2018,2.83,Earth,1.49,Earth,0.0373,0.010403832,0.0,Transit
K2-152 b,354.0,13.728,Neptune-like,2018,5.86,Earth,0.204,Jupiter,0.1716,0.08925393,0.0,Transit
K2-153 b,467.0,14.96,Super Earth,2018,4.66,Earth,2.0,Earth,0.0614,0.02053388,0.0,Transit
K2-154 b,422.0,13.861,Super Earth,2018,4.62,Earth,1.99,Earth,0.0405,0.010130048,0.0,Transit
K2-154 c,422.0,13.861,Super Earth,2018,4.94,Earth,2.07,Earth,0.0677,0.021902807,0.0,Transit
K2-155 b,237.0,12.773,Super Earth,2018,3.89,Earth,1.8,Earth,0.0562,0.017248461,0.0,Transit
K2-155 c,237.0,12.773,Neptune-like,2018,7.27,Earth,0.232,Jupiter,0.0946,0.038056124,0.0,Transit
K2-155 d,237.0,12.773,Super Earth,2018,4.27,Earth,1.9,Earth,0.1937,0.111430526,0.0,Transit
K2-156 b,490.0,13.4,Super Earth,2018,1.37,Earth,1.1,Earth,0.0149,0.0021902807,0.0,Transit
K2-158 b,644.0,11.774,Neptune-like,2018,7.46,Earth,0.236,Jupiter,0.0887,0.027652293,0.0,Transit
K2-158 c,644.0,11.774,Super Earth,2018,2.18,Earth,1.28,Earth,0.0622,0.01615332,0.0,Transit
K2-159 b,558.0,11.995,Neptune-like,2018,5.73,Earth,0.202,Jupiter,0.1013,0.03394935,0.0,Transit
K2-15 b,1611.0,14.758,Neptune-like,2015,6.71,Earth,0.221,Jupiter,0.091,0.03230664,0.0,Transit
K2-162 b,406.0,12.278,Super Earth,2018,2.67,Earth,1.44,Earth,0.0795,0.026009582,0.0,Transit
K2-166 b,1556.0,12.081,Neptune-like,2018,5.43,Earth,2.19,Earth,0.0858,0.023271732,0.0,Transit
K2-16 b,1093.0,14.668,Super Earth,2015,4.74,Earth,2.02,Earth,0.0667,0.020807665,0.0,Transit
K2-16 c,1093.0,14.668,Neptune-like,2015,6.99,Earth,0.227,Jupiter,0.1229,0.05229295,0.0,Transit
K2-174 b,326.0,12.456,Neptune-like,2018,7.27,Earth,0.232,Jupiter,0.126,0.053661875,0.0,Transit
K2-180 b,665.0,12.557,Super Earth,2018,11.44182,Earth,0.225,Jupiter,0.0734,0.02436687,0.0,Transit
K2-181 b,1177.0,12.669,Neptune-like,2018,8.45,Earth,0.253,Jupiter,0.0706,0.01889117,0.0,Transit
K2-183 c,1073.0,12.867,Neptune-like,2018,5.9,Earth,0.205,Jupiter,0.0932,0.02956879,0.0,Transit
K2-183 d,1073.0,12.867,Neptune-like,2018,5.9,Earth,0.205,Jupiter,0.1527,0.06187543,0.0,Transit
K2-184 b,247.0,10.345,Super Earth,2018,2.76,Earth,1.47,Earth,0.1685,0.046543464,0.0,Transit
K2-187 b,1079.0,13.102,Super Earth,2018,1.87,Earth,1.2,Earth,0.0164,0.0021902807,0.0,Transit
K2-187 c,1079.0,13.102,Super Earth,2018,2.54,Earth,1.4,Earth,0.0392,0.007939767,0.0,Transit
K2-187 d,1079.0,13.102,Neptune-like,2018,6.35,Earth,0.214,Jupiter,0.072,0.01943874,0.0,Transit
K2-187 e,1079.0,13.102,Super Earth,2018,4.27,Earth,1.9,Earth,0.1106,0.037234772,0.0,Transit
K2-188 b,1458.0,12.657,Super Earth,2018,2.39,Earth,1.35,Earth,0.0289,0.0046543465,0.0,Transit
K2-188 c,1458.0,12.657,Neptune-like,2018,8.4,Earth,0.252,Jupiter,0.0785,0.021355236,0.0,Transit
K2-189 b,790.0,12.398,Super Earth,2018,2.92,Earth,1.52,Earth,0.0361,0.007118412,0.0,Transit
K2-189 c,790.0,12.398,Neptune-like,2018,6.8,Earth,0.223,Jupiter,0.068,0.0183436,0.0,Transit
K2-192 b,723.0,12.656,Super Earth,2018,2.92,Earth,1.52,Earth,0.049,0.011498973,0.0,Transit
K2-193 b,1344.0,13.341,Neptune-like,2018,14.8,Earth,0.352,Jupiter,0.1184,0.04052019,0.0,Transit
K2-195 b,1028.0,12.524,Neptune-like,2018,9.96,Earth,0.279,Jupiter,0.1208,0.043531828,0.0,Transit
K2-197 b,808.0,12.199,Neptune-like,2018,7.08,Earth,0.228,Jupiter,0.0806,0.022997946,0.0,Transit
K2-19 d,945.0,13.024,Super Earth,2016,10.0,Earth,1.11,Earth,0.0344,0.0068446267,0.0,Transit
K2-212 b,356.0,12.977,Neptune-like,2018,7.51,Earth,0.236,Jupiter,0.0785,0.026830938,0.0,Transit
K2-214 b,981.0,11.806,Neptune-like,2018,6.48,Earth,0.217,Jupiter,0.0834,0.023545519,0.0,Transit
K2-216 b,377.0,12.403,Super Earth,2018,8.0,Earth,1.75,Earth,0.028,0.006023272,0.0,Transit
K2-220 b,762.0,11.873,Neptune-like,2018,6.3,Earth,0.213,Jupiter,0.1104,0.037508555,0.0,Transit
K2-222 b,331.0,9.543,Neptune-like,2018,6.3,Earth,0.213,Jupiter,0.1211,0.042162903,0.0,Transit
K2-223 b,648.0,11.443,Terrestrial,2018,0.64,Earth,0.89,Earth,0.0127,0.0013689254,0.0,Transit
K2-223 c,648.0,11.443,Super Earth,2018,2.86,Earth,1.5,Earth,0.0549,0.012594113,0.0,Transit
K2-224 b,898.0,12.7,Super Earth,2018,3.05,Earth,1.56,Earth,0.0516,0.0123203285,0.0,Transit
K2-224 c,898.0,12.7,Neptune-like,2018,6.39,Earth,0.215,Jupiter,0.0886,0.027652293,0.0,Transit
K2-225 b,1167.0,11.836,Neptune-like,2018,12.0,Earth,0.311,Jupiter,0.134,0.043531828,0.0,Transit
K2-226 b,689.0,12.337,Super Earth,2018,2.99,Earth,1.54,Earth,0.0413,0.009034907,0.0,Transit
K2-228 b,422.0,13.028,Super Earth,2018,1.92,Earth,1.21,Earth,0.0338,0.0073921974,0.0,Transit
K2-229 b,335.0,10.985,Super Earth,2018,2.49,Earth,1.0,Earth,0.0131,0.0016427105,0.0,Transit
K2-230 b,1764.0,12.789,Super Earth,2018,4.5,Earth,1.96,Earth,0.0409,0.007939767,0.0,Transit
K2-238 b,1755.0,13.973,Gas Giant,2018,0.86,Jupiter,1.3,Jupiter,0.046,0.008761123,0.0,Transit
K2-239 b,101.0,14.632,Super Earth,2018,1.37,Earth,1.1,Earth,0.0441,0.014236824,0.0,Transit
K2-239 c,101.0,14.632,Terrestrial,2018,0.972,Earth,1.0,Earth,0.0576,0.021355236,0.0,Transit
K2-239 d,101.0,14.632,Super Earth,2018,1.37,Earth,1.1,Earth,0.0685,0.027652293,0.0,Transit
K2-240 b,238.0,13.372,Super Earth,2018,4.66,Earth,2.0,Earth,0.0513,0.016427105,0.0,Transit
K2-240 c,238.0,13.372,Super Earth,2018,3.89,Earth,1.8,Earth,0.1159,0.056125943,0.0,Transit
K2-241 b,488.0,11.97,Neptune-like,2018,7.04,Earth,0.227,Jupiter,0.1567,0.0733744,0.0,Transit
K2-242 b,356.0,16.414,Neptune-like,2018,6.99,Earth,0.227,Jupiter,0.0494,0.01779603,0.0,Transit
K2-243 b,871.0,10.971,Neptune-like,2018,5.35,Earth,2.17,Earth,0.1087,0.031485286,0.0,Transit
K2-243 c,871.0,10.971,Super Earth,2018,4.7,Earth,2.01,Earth,0.1817,0.068172485,0.0,Transit
K2-244 b,694.0,11.78,Super Earth,2018,3.71,Earth,1.75,Earth,0.1418,0.057768654,0.0,Transit
K2-246 b,2295.0,14.792,Neptune-like,2018,12.0,Earth,0.311,Jupiter,0.0602,0.015879534,0.0,Transit
K2-247 b,842.0,14.857,Neptune-like,2018,5.14,Earth,2.12,Earth,0.0304,0.0062970566,0.0,Transit
K2-247 c,842.0,14.857,Neptune-like,2018,5.43,Earth,2.19,Earth,0.0615,0.01779603,0.0,Transit
K2-248 b,1325.0,13.497,Neptune-like,2018,7.13,Earth,0.229,Jupiter,0.0699,0.019712524,0.0,Transit
K2-249 b,1702.0,12.646,Neptune-like,2018,8.2,Earth,0.249,Jupiter,0.1151,0.03394935,0.0,Transit
K2-250 b,1353.0,14.314,Neptune-like,2018,6.53,Earth,0.218,Jupiter,0.0459,0.0109514035,0.0,Transit
K2-251 b,480.0,15.66,Neptune-like,2018,6.12,Earth,0.21,Jupiter,0.0694,0.025462013,0.0,Transit
K2-252 b,746.0,12.93,Super Earth,2018,3.68,Earth,1.74,Earth,0.1041,0.03778234,0.0,Transit
K2-254 b,743.0,14.238,Super Earth,2018,3.29,Earth,1.63,Earth,0.0448,0.011225188,0.0,Transit
K2-254 c,743.0,14.238,Neptune-like,2018,5.43,Earth,2.19,Earth,0.0923,0.033127997,0.0,Transit
K2-255 b,625.0,13.662,Neptune-like,2018,8.75,Earth,0.259,Jupiter,0.0274,0.0054757018,0.0,Transit
K2-256 b,1842.0,14.954,Neptune-like,2018,7.41,Earth,0.235,Jupiter,0.0578,0.015058179,0.0,Transit
K2-257 b,209.0,13.716,Terrestrial,2018,0.498,Earth,0.83,Earth,0.0216,0.0043805614,0.0,Transit
K2-258 b,2159.0,13.361,Neptune-like,2018,9.27,Earth,0.268,Jupiter,0.149,0.05229295,0.0,Transit
K2-259 b,1358.0,12.511,Neptune-like,2018,5.99,Earth,0.207,Jupiter,0.1271,0.042436685,0.0,Transit
K2-260 b,2165.0,12.624,Gas Giant,2018,1.42,Jupiter,1.552,Jupiter,0.0404,0.007118412,0.0,Transit
K2-266 b,253.0,11.625,Neptune-like,2018,11.26782,Earth,0.294,Jupiter,0.01306,0.0019164955,0.0,Transit
K2-268 b,1069.0,13.848,Super Earth,2018,2.86,Earth,1.5,Earth,0.0308,0.006023272,0.0,Transit
K2-268 c,1069.0,13.848,Neptune-like,2018,7.7,Earth,0.24,Jupiter,0.0819,0.025462013,0.0,Transit
K2-269 b,1177.0,11.784,Super Earth,2018,3.09,Earth,1.57,Earth,0.0531,0.011225188,0.0,Transit
K2-26 b,323.0,14.528,Neptune-like,2016,7.61,Earth,0.238,Jupiter,0.0962,0.039972622,0.0,Transit
K2-270 b,915.0,13.847,Super Earth,2018,2.48,Earth,1.38,Earth,0.0247,0.0041067763,0.0,Transit
K2-270 c,915.0,13.847,Neptune-like,2018,9.01,Earth,0.263,Jupiter,0.0497,0.012046544,0.0,Transit
K2-271 b,1841.0,13.845,Gas Giant,2018,0.131,Jupiter,0.649,Jupiter,0.077,0.023545519,0.0,Transit
K2-272 b,1380.0,13.872,Neptune-like,2018,9.96,Earth,0.279,Jupiter,0.1007,0.039698835,0.0,Transit
K2-273 b,1005.0,13.246,Neptune-like,2018,9.53,Earth,0.272,Jupiter,0.0729,0.032032855,0.0,Transit
K2-274 b,745.0,13.181,Super Earth,2018,4.98,Earth,2.08,Earth,0.0964,0.038603697,0.0,Transit
K2-275 b,403.0,11.974,Neptune-like,2018,6.08,Earth,0.209,Jupiter,0.0277,0.009034907,0.0,Transit
K2-275 c,403.0,11.974,Neptune-like,2018,5.52,Earth,2.21,Earth,0.0881,0.022997946,0.0,Transit
K2-276 b,1592.0,14.654,Neptune-like,2018,13.7,Earth,0.336,Jupiter,0.1291,0.051197812,0.0,Transit
K2-277 b,369.0,10.364,Super Earth,2018,4.94,Earth,2.07,Earth,0.0675,0.017248461,0.0,Transit
K2-278 b,2565.0,13.446,Neptune-like,2018,9.17,Earth,0.266,Jupiter,0.0488,0.009034907,0.0,Transit
K2-279 b,597.0,11.491,Super Earth,2018,1.92,Earth,1.21,Earth,0.067,0.01943874,0.0,Transit
K2-281 b,1494.0,15.048,Gas Giant,2018,0.16,Jupiter,0.73,Jupiter,0.0773,0.023819301,0.0,Transit
K2-282 b,1619.0,14.21,Neptune-like,2018,6.8,Earth,0.223,Jupiter,0.0499,0.011498973,0.0,Transit
K2-283 b,1314.0,14.364,Neptune-like,2018,12.2,Earth,0.314,Jupiter,0.0291,0.005201916,0.0,Transit
K2-285 b,505.0,12.075,Super Earth,2018,9.68,Earth,0.231,Jupiter,0.03817,0.009582478,0.0,Transit
K2-285 c,505.0,12.075,Neptune-like,2018,15.68,Earth,0.315,Jupiter,0.0824,0.01943874,0.0,Transit
K2-285 d,505.0,12.075,Neptune-like,2018,6.5,Earth,0.221,Jupiter,0.1178,0.028747434,0.0,Transit
K2-285 e,505.0,12.075,Neptune-like,2018,10.7,Earth,1.95,Earth,0.18041,0.04052019,0.0,Transit
K2-286 b,248.0,12.881,Neptune-like,2018,5.06,Earth,2.1,Earth,0.1768,0.07501711,0.0,Transit
K2-288 B b,214.0,13.868,Super Earth,2018,4.27,Earth,1.9,Earth,0.164,0.08596852,0.0,Transit
K2-289 b,895.0,14.81,Gas Giant,2019,0.192,Jupiter,0.812,Jupiter,0.107,0.03613963,0.0,Transit
K2-28 b,205.0,16.526,Neptune-like,2016,5.99,Earth,0.207,Jupiter,0.0214,0.0062970566,0.0,Transit
K2-290 b,890.0,11.114,Super Earth,2019,10.9,Earth,0.273,Jupiter,0.0923,0.025188226,0.0,Transit
K2-291 b,294.0,10.014,Super Earth,2019,6.49,Earth,1.589,Earth,0.03261,0.006023272,0.0,Transit
K2-295 b,759.0,13.8941,Gas Giant,2018,0.335,Jupiter,0.897,Jupiter,0.0451,0.0109514035,0.0,Transit
K2-30 b,1086.0,13.547,Gas Giant,2016,0.579,Jupiter,1.039,Jupiter,0.04839,0.011225188,0.0,Transit
K2-316 b,367.0,17.14,Super Earth,2020,2.33,Earth,1.33,Earth,0.0147,0.003011636,0.0,Transit
K2-316 c,367.0,17.14,Super Earth,2020,4.01,Earth,1.83,Earth,0.0582,0.01451061,0.0,Transit
K2-317 b,575.0,17.74,Neptune-like,2020,8.91,Earth,0.261,Jupiter,0.0542,0.016974675,0.0,Transit
K2-318 b,482.0,15.8,Super Earth,2020,3.39,Earth,1.66,Earth,0.0911,0.019164955,0.0,Transit
